year,river,counted.reaches,uncounted.reaches,above.weir
2003,Aniak,27,16,NA
2004,Aniak,36,27,NA
2005,Aniak,23,15,NA
2006,Aniak,42,25,NA
2007,Aniak,20,18,NA
2014,Aniak,16,6,NA
2015,Aniak,30,28,NA
2016,Aniak,35,27,NA
2003,Kipchuk,10,1,NA
2004,Kipchuk,7,2,NA
2005,Kipchuk,4,0,NA
2006,Kipchuk,17,2,NA
2007,Kipchuk,8,1,NA
2014,Kipchuk,1,0,NA
2015,Kipchuk,8,0,NA
2016,Kipchuk,9,0,NA
2003,Salmon_Aniak,8,1,9
2004,Salmon_Aniak,7,0,7
2005,Salmon_Aniak,4,0,4
2006,Salmon_Aniak,6,0,6
2007,Salmon_Aniak,7,0,7
2014,Salmon_Aniak,1,0,1
2015,Salmon_Aniak,6,0,6
2016,Salmon_Aniak,1,0,1
2003,Holitna,7,66,NA
2004,Holitna,11,35,NA
2005,Holitna,15,50,NA
2006,Holitna,18,63,NA
2007,Holitna,8,54,NA
2014,Holitna,15,43,NA
2015,Holitna,13,25,NA
2016,Holitna,12,40,NA
2003,Kogrukluk,18,17,35
2004,Kogrukluk,9,10,19
2005,Kogrukluk,24,23,47
2006,Kogrukluk,13,17,30
2007,Kogrukluk,18,22,40
2014,Kogrukluk,0,1,1
2015,Kogrukluk,10,8,18
2016,Kogrukluk,16,3,19
2003,Holokuk,3,1,NA
2004,Holokuk,6,2,NA
2005,Holokuk,2,5,NA
2006,Holokuk,1,3,NA
2007,Holokuk,8,3,NA
2014,Holokuk,NA,NA,NA
2015,Holokuk,NA,NA,NA
2016,Holokuk,4,0,NA
2003,Oskawalik,4,3,NA
2004,Oskawalik,1,1,NA
2005,Oskawalik,5,3,NA
2006,Oskawalik,2,5,NA
2007,Oskawalik,5,3,NA
2014,Oskawalik,NA,NA,NA
2015,Oskawalik,2,0,NA
2016,Oskawalik,0,0,NA
2003,Salmon_Pitka,5,4,NA
2004,Salmon_Pitka,1,2,NA
2005,Salmon_Pitka,1,1,NA
2006,Salmon_Pitka,3,1,NA
2007,Salmon_Pitka,1,3,NA
2014,Salmon_Pitka,6,7,NA
2015,Salmon_Pitka,13,9,NA
2016,Salmon_Pitka,19,5,NA
2003,Upper_Pitka_Fork,0,5,NA
2004,Upper_Pitka_Fork,NA,NA,NA
2005,Upper_Pitka_Fork,1,2,NA
2006,Upper_Pitka_Fork,NA,NA,NA
2007,Upper_Pitka_Fork,1,1,NA
2014,Upper_Pitka_Fork,4,5,NA
2015,Upper_Pitka_Fork,7,10,NA
2016,Upper_Pitka_Fork,4,5,NA
2003,Cheeneetnuk,8,2,NA
2004,Cheeneetnuk,6,0,NA
2005,Cheeneetnuk,6,3,NA
2006,Cheeneetnuk,10,4,NA
2007,Cheeneetnuk,4,4,NA
2014,Cheeneetnuk,NA,NA,NA
2015,Cheeneetnuk,NA,NA,NA
2016,Cheeneetnuk,8,1,NA
2003,Gagaryah,8,1,NA
2004,Gagaryah,8,0,NA
2005,Gagaryah,6,0,NA
2006,Gagaryah,3,0,NA
2007,Gagaryah,7,1,NA
2014,Gagaryah,NA,NA,NA
2015,Gagaryah,NA,NA,NA
2016,Gagaryah,0,0,NA
2003,Swift,0,9,NA
2004,Swift,0,2,NA
2005,Swift,0,9,NA
2006,Swift,0,12,NA
2007,Swift,0,7,NA
2014,Swift,NA,NA,NA
2015,Swift,NA,NA,NA
2016,Swift,NA,NA,NA
2003,Bear,NA,NA,NA
2004,Bear,NA,NA,NA
2005,Bear,1,0,NA
2006,Bear,NA,NA,NA
2007,Bear,NA,NA,NA
2014,Bear,11,0,NA
2015,Bear,2,0,NA
2016,Bear,0,0,NA
2003,Kisaralik,NA,NA,NA
2004,Kisaralik,NA,NA,NA
2005,Kisaralik,NA,NA,NA
2006,Kisaralik,NA,NA,NA
2007,Kisaralik,NA,NA,NA
2014,Kisaralik,NA,NA,NA
2015,Kisaralik,5,8,NA
2016,Kisaralik,7,10,NA
2003,Kwethluk,NA,NA,NA
2004,Kwethluk,NA,NA,NA
2005,Kwethluk,NA,NA,NA
2006,Kwethluk,NA,NA,NA
2007,Kwethluk,NA,NA,NA
2014,Kwethluk,NA,NA,NA
2015,Kwethluk,29,5,34
2016,Kwethluk,39,9,48
