"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Aniak",1976,9707.72790555518,1206.67371910988,9672.55123270292,7366.15199693159,12100.7501470487,0.124300323499938,0
"Aniak",1977,25517.2926239767,3168.58389708797,25436.7885457101,19396.6092246832,31758.4707499243,0.124173984434018,0
"Aniak",1978,14729.6241283579,1837.27851475327,14684.6063564024,11162.3761125142,18340.77624793,0.124733564057218,0
"Aniak",1979,13752.8176915297,1708.15855847,13711.651727244,10439.0420238807,17122.8880805115,0.124204261030962,0
"Aniak",1980,25986.3968405033,3227.62190200475,25903.6334190111,19750.273261564,32334.237920973,0.124204287412947,0
"Aniak",1981,41285.2335598174,5183.36598351577,41136.1792090111,31290.5707452063,51527.4254204185,0.125550118930675,0
"Aniak",1982,6164.4314363559,771.756099076136,6144.52757075486,4662.06882508258,7681.01907461309,0.125195017098342,0
"Aniak",1983,9184.2011470607,1150.08828382441,9148.0473530068,6966.52284916312,11438.803171707,0.125224640162905,1
"Aniak",1984,8269.92684321828,1028.69226496458,8240.20566165166,6269.32349472514,10309.0514041622,0.124389524171928,0
"Aniak",1985,6169.93296152659,769.271112747511,6153.17539465843,4679.44333559717,7694.03658248079,0.124680627414333,0
"Aniak",1986,3377.490195164,423.01909730411,3372.44574364099,2552.74835432471,4201.04211089258,0.125246580407488,1
"Aniak",1987,7611.86983655193,950.41678072735,7587.46751271797,5775.4780145243,9503.95979546151,0.124859830913488,1
"Aniak",1988,5648.19533423709,703.279477086986,5632.48556919184,4288.0037880784,7025.61889646842,0.124514014737413,1
"Aniak",1989,13880.6131555844,1715.21037574913,13838.0749962698,10542.6880139273,17256.3790798602,0.123568775854766,1
"Aniak",1990,7740.67574204497,958.580191506094,7720.19489353892,5875.57910186064,9640.42050796002,0.123836758372319,1
"Aniak",1991,9809.07202482,1213.39976121012,9784.06223654784,7448.03509351353,12208.8788055622,0.123701789337447,1
"Aniak",1992,11493.7883501469,1434.57454691519,11452.9909968099,8717.62713264079,14315.3662160224,0.124813029717644,1
"Aniak",1993,16348.7865175834,2021.67570477432,16301.6394060856,12406.5761752163,20352.969457491,0.123659068065998,1
"Aniak",1994,27523.5561902414,3425.52878803696,27442.0348823233,20894.3896324034,34279.7051824401,0.124458073817201,1
"Aniak",1995,19044.347815974,2355.24113730706,18986.5447472056,14468.5751430801,23704.9713390554,0.123671398992804,1
"Aniak",1996,20236.8782544532,2512.39618933221,20172.4603308316,15359.0886979361,25202.8880968098,0.124149394869209,0
"Aniak",1997,13138.072689839,1625.32622074384,13100.6318281288,9983.22546214721,16374.1877291373,0.123711160618016,1
"Aniak",1998,9742.00897492168,1215.78687926125,9706.40886885015,7389.66679284213,12138.2435191863,0.124798373968961,1
"Aniak",1999,8100.82856256963,1007.77004324703,8071.8956044879,6137.51922389222,10097.3452014045,0.124403329296893,0
"Aniak",2000,3848.41464285918,484.5933631645,3840.57732270234,2903.70444565317,4807.17732179883,0.125920257595858,1
"Aniak",2001,12670.0913850496,1573.87856750165,12631.1945272108,9618.49459402116,15775.5774081288,0.124219985450049,0
"Aniak",2002,17445.4549232069,2152.19860130268,17393.2213813677,13255.6945194792,21703.6749900227,0.123367295996375,1
"Aniak",2003,20607.8505626893,2551.55984393321,20548.216857507,15651.8710320355,25641.032121854,0.123814943056353,1
"Aniak",2004,31078.2860749873,3848.69472290432,30973.0354924916,23652.2969771029,38711.68985864,0.123838705700114,1
"Aniak",2005,31056.0438746665,3821.22135365449,30975.7592705179,23724.3887099107,38658.2795254345,0.123042760020429,1
"Aniak",2006,28934.6544492073,3604.93451453441,28847.8956171759,21951.4660713748,36042.3159689579,0.124588822059811,1
"Aniak",2007,24639.5114111065,3045.94692534138,24557.3102037107,18726.3691263903,30675.0227360285,0.123620427147285,1
