"pi","psi_p_1"
"0.59(0.42 -- 0.75)","2.46(1.72 -- 4.04)"
"0.04(0.01 -- 0.12)","1.04(1.01 -- 1.14)"
"0.41(0.37 -- 0.47)","1.71(1.58 -- 1.87)"
"0.09(0.04 -- 0.17)","1.1(1.04 -- 1.21)"
"0.37(0.23 -- 0.53)","1.59(1.3 -- 2.12)"
"0.44(0.29 -- 0.6)","1.79(1.4 -- 2.52)"
"0.79(0.75 -- 0.83)","4.78(4.04 -- 5.73)"
"0.25(0.16 -- 0.38)","1.34(1.18 -- 1.61)"
"0.08(0.02 -- 0.19)","1.08(1.02 -- 1.24)"
"0.4(0.3 -- 0.5)","1.66(1.42 -- 2.01)"
"0.05(0 -- 0.22)","1.05(1 -- 1.28)"
"0.62(0.48 -- 0.75)","2.62(1.92 -- 4)"
