date,year,location,species,sex,length,fw_age,sw_age,meas_type
6/24/1992,1992,Kwethluk River,Chinook,female,585,1,2,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chinook,male,365,1,1,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,630,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,565,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,530,,,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,580,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,585,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,610,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,585,,,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,575,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,570,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,545,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,545,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,560,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,645,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,575,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,595,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,550,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,560,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,605,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,580,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,570,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,555,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,645,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,550,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,590,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,645,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,610,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,620,,,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,645,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,590,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,565,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,505,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,565,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,560,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,590,0,5,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,540,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,590,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,620,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,570,,,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,575,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,550,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,585,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,590,0,5,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,575,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,605,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,650,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,555,0,5,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,615,0,5,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,580,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,600,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,565,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,535,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,560,0,5,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,605,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,535,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,595,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,565,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,545,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,585,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,595,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,555,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,570,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,610,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,585,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,590,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,640,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,530,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,570,0,3,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,595,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,515,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,545,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,male,605,0,4,Mid-eye to fork of tail
6/24/1992,1992,Kwethluk River,Chum,female,575,0,4,Mid-eye to fork of tail
