date,year,location,species,sex,length,fw_age,sw_age,meas_type
7/5/2000,2000,Takotna River,Chinook,male,437,1,2,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,665,1,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,752,1,4,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,716,1,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,633,1,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,550,1,2,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,649,1,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,female,837,1,4,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,491,1,2,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chinook,male,418,1,2,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,male,569,0,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,female,542,0,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,female,551,0,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,male,596,0,4,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,male,580,0,3,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,male,572,0,4,Mid-eye to fork of tail
7/5/2000,2000,Takotna River,Chum,female,537,0,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,male,754,1,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,male,728,1,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,male,750,1,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,male,725,,,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,female,849,1,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,female,722,1,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chinook,male,547,1,2,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,male,648,0,5,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,565,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,586,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,561,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,male,559,0,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,550,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,male,572,0,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,554,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,513,0,3,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,547,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,female,610,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,male,641,0,4,Mid-eye to fork of tail
7/6/2000,2000,Takotna River,Chum,male,638,0,4,Mid-eye to fork of tail
