date,year,location,species,sex,length,fw_age,sw_age,meas_type
6/29/1998,1998,Tatlawiksuk River,Chum,male,566,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,558,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,554,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,560,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,582,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,560,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,589,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,551,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,594,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,587,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,547,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,590,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,566,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,581,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,583,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,570,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,567,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,553,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,549,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,580,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,602,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,527,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,564,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,534,0,4,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,585,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,male,582,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,543,0,3,Mid-eye to fork of tail
6/29/1998,1998,Tatlawiksuk River,Chum,female,536,0,3,Mid-eye to fork of tail
