date,year,location,species,sex,length,fw_age,sw_age,meas_type
6/19/1991,1991,Tuluksak River,Chum,female,535,0,3,Mid-eye to fork of tail
6/23/1991,1991,Tuluksak River,Chinook,female,765,1,3,Mid-eye to fork of tail
6/23/1991,1991,Tuluksak River,Chum,male,610,0,4,Mid-eye to fork of tail
6/24/1991,1991,Tuluksak River,Chinook,male,485,1,3,Mid-eye to fork of tail
6/24/1991,1991,Tuluksak River,Chinook,female,905,1,4,Mid-eye to fork of tail
6/24/1991,1991,Tuluksak River,Chinook,female,880,1,5,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chinook,female,490,1,2,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chinook,female,510,1,2,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chinook,female,720,1,4,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chum,male,615,0,4,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chum,female,585,0,4,Mid-eye to fork of tail
6/26/1991,1991,Tuluksak River,Chum,male,590,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chinook,female,545,2,2,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chinook,male,370,1,2,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chinook,male,770,1,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,male,665,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,male,605,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,female,575,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,male,585,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,male,600,0,4,Mid-eye to fork of tail
6/27/1991,1991,Tuluksak River,Chum,female,525,0,3,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chinook,female,820,2,3,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chinook,male,815,1,4,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chinook,female,910,2,5,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chinook,male,815,,,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chum,female,555,0,4,Mid-eye to fork of tail
6/28/1991,1991,Tuluksak River,Chum,male,645,0,4,Mid-eye to fork of tail
6/29/1991,1991,Tuluksak River,Chinook,female,880,1,4,Mid-eye to fork of tail
6/29/1991,1991,Tuluksak River,Chum,male,665,0,4,Mid-eye to fork of tail
6/29/1991,1991,Tuluksak River,Chum,female,590,0,3,Mid-eye to fork of tail
