date,year,location,species,type,count
6/14,2017,George River,Chinook,Counted Live,0
6/14,2017,George River,Chum,Counted Live,0
6/14,2017,George River,Sockeye,Counted Live,0
6/15,1996,George River,Chinook,Estimated,0
6/15,1996,George River,Chum,Estimated,0
6/15,1997,George River,Chinook,Counted Live,26
6/15,1997,George River,Chum,Counted Live,0
6/15,1997,George River,Coho,Counted Live,0
6/15,1997,George River,Sockeye,Counted Live,0
6/15,1999,George River,Chum,Estimated,0
6/15,1999,George River,Coho,Estimated,0
6/15,2000,George River,Chinook,Estimated,0
6/15,2000,George River,Chum,Estimated,0
6/15,2000,George River,Coho,Estimated,0
6/15,2001,George River,Chinook,Estimated,0
6/15,2001,George River,Chum,Estimated,0
6/15,2001,George River,Coho,Estimated,0
6/15,2002,George River,Chinook,Estimated,0
6/15,2002,George River,Chum,Estimated,0
6/15,2002,George River,Coho,Estimated,0
6/15,2003,George River,Chum,Estimated,0
6/15,2003,George River,Coho,Estimated,0
6/15,2004,George River,Chinook,Estimated,0
6/15,2004,George River,Chum,Estimated,0
6/15,2004,George River,Coho,Estimated,0
6/15,2005,George River,Chinook,Counted Live,6
6/15,2005,George River,Chum,Counted Live,5
6/15,2005,George River,Coho,Counted Live,0
6/15,2005,George River,Sockeye,Counted Live,0
6/15,2006,George River,Chinook,Estimated,0
6/15,2006,George River,Chum,Estimated,0
6/15,2006,George River,Coho,Estimated,0
6/15,2006,George River,Sockeye,Counted Live,0
6/15,2007,George River,Chinook,Counted Live,0
6/15,2007,George River,Chum,Counted Live,0
6/15,2007,George River,Coho,Counted Live,0
6/15,2007,George River,Sockeye,Counted Live,0
6/15,2008,George River,Chinook,Estimated,0
6/15,2008,George River,Chum,Estimated,0
6/15,2008,George River,Coho,Estimated,0
6/15,2009,George River,Chinook,Estimated,0
6/15,2009,George River,Chum,Estimated,0
6/15,2009,George River,Coho,Estimated,0
6/15,2010,George River,Chinook,Counted Live,0
6/15,2010,George River,Chum,Counted Live,0
6/15,2010,George River,Coho,Counted Live,0
6/15,2010,George River,Sockeye,Counted Live,0
6/15,2011,George River,Chinook,Estimated,0
6/15,2011,George River,Chum,Estimated,0
6/15,2011,George River,Coho,Estimated,0
6/15,2012,George River,Chinook,Estimated,0
6/15,2012,George River,Chum,Estimated,0
6/15,2012,George River,Coho,Estimated,0
6/15,2013,George River,Chinook,Estimated,0
6/15,2013,George River,Chum,Estimated,0
6/15,2013,George River,Coho,Estimated,0
6/15,2014,George River,Chinook,Estimated,0
6/15,2014,George River,Chum,Estimated,0
6/15,2014,George River,Coho,Estimated,0
6/15,2015,George River,Chinook,Estimated,0
6/15,2015,George River,Chum,Estimated,1
6/15,2015,George River,Coho,Estimated,0
6/15,2015,George River,Sockeye,Counted Live,0
6/15,2016,George River,Chinook,Counted Live,0
6/15,2016,George River,Chum,Counted Live,0
6/15,2016,George River,Coho,Counted Live,0
6/15,2016,George River,Sockeye,Counted Live,0
6/15,2017,George River,Chinook,Counted Live,0
6/15,2017,George River,Chum,Counted Live,7
6/15,2017,George River,Coho,Counted Live,0
6/15,2017,George River,Sockeye,Counted Live,0
6/16,1996,George River,Chinook,Estimated,0
6/16,1996,George River,Chum,Estimated,9
6/16,1997,George River,Chinook,Estimated,0
6/16,1997,George River,Chum,Estimated,1
6/16,1997,George River,Coho,Estimated,0
6/16,1997,George River,Sockeye,Counted Live,0
6/16,1999,George River,Chum,Estimated,0
6/16,1999,George River,Coho,Estimated,0
6/16,2000,George River,Chinook,Estimated,0
6/16,2000,George River,Chum,Estimated,0
6/16,2000,George River,Coho,Estimated,0
6/16,2001,George River,Chinook,Estimated,0
6/16,2001,George River,Chum,Estimated,0
6/16,2001,George River,Coho,Estimated,0
6/16,2002,George River,Chinook,Estimated,0
6/16,2002,George River,Chum,Estimated,0
6/16,2002,George River,Coho,Estimated,0
6/16,2003,George River,Chum,Estimated,0
6/16,2003,George River,Coho,Estimated,0
6/16,2004,George River,Chinook,Estimated,0
6/16,2004,George River,Chum,Estimated,0
6/16,2004,George River,Coho,Estimated,0
6/16,2005,George River,Chinook,Counted Live,3
6/16,2005,George River,Chum,Counted Live,1
6/16,2005,George River,Coho,Counted Live,0
6/16,2005,George River,Sockeye,Counted Live,0
6/16,2006,George River,Chinook,Counted Live,1
6/16,2006,George River,Chum,Counted Live,0
6/16,2006,George River,Coho,Counted Live,0
6/16,2006,George River,Sockeye,Counted Live,0
6/16,2007,George River,Chinook,Counted Live,0
6/16,2007,George River,Chum,Counted Live,1
6/16,2007,George River,Coho,Counted Live,0
