date,year,location,species,type,count
6/23,2017,Kogrukluk River,Chinook,Counted Live,3
6/23,2017,Kogrukluk River,Chum,Counted Live,3
6/23,2017,Kogrukluk River,Coho,Counted Live,0
6/23,2017,Kogrukluk River,Sockeye,Counted Live,0
6/24,2017,Kogrukluk River,Chinook,Counted Live,2
6/24,2017,Kogrukluk River,Chum,Counted Live,22
6/24,2017,Kogrukluk River,Coho,Counted Live,0
6/24,2017,Kogrukluk River,Sockeye,Counted Live,0
6/25,2017,Kogrukluk River,Chinook,Counted Live,7
6/25,2017,Kogrukluk River,Chum,Counted Live,47
6/25,2017,Kogrukluk River,Coho,Counted Live,0
6/25,2017,Kogrukluk River,Sockeye,Counted Live,3
6/26,1976,Kogrukluk River,Chinook,Estimated,0
6/26,1976,Kogrukluk River,Chum,Estimated,0
6/26,1976,Kogrukluk River,Sockeye,Estimated,0
6/26,1978,Kogrukluk River,Chinook,Estimated,0
6/26,1978,Kogrukluk River,Chum,Estimated,0
6/26,1978,Kogrukluk River,Sockeye,Estimated,0
6/26,1979,Kogrukluk River,Chinook,Estimated,0
6/26,1979,Kogrukluk River,Chum,Estimated,0
6/26,1979,Kogrukluk River,Sockeye,Estimated,0
6/26,1981,Kogrukluk River,Chinook,Estimated,0
6/26,1981,Kogrukluk River,Chum,Estimated,33
6/26,1981,Kogrukluk River,Coho,Estimated,0
6/26,1981,Kogrukluk River,Sockeye,Estimated,18
6/26,1982,Kogrukluk River,Chinook,Estimated,0
6/26,1982,Kogrukluk River,Chum,Estimated,0
6/26,1982,Kogrukluk River,Coho,Estimated,0
6/26,1982,Kogrukluk River,Sockeye,Estimated,0
6/26,1983,Kogrukluk River,Chinook,Counted Live,4
6/26,1983,Kogrukluk River,Chum,Counted Live,47
6/26,1983,Kogrukluk River,Coho,Counted Live,0
6/26,1983,Kogrukluk River,Sockeye,Counted Live,0
6/26,1984,Kogrukluk River,Chinook,Counted Live,1
6/26,1984,Kogrukluk River,Chum,Counted Live,42
6/26,1984,Kogrukluk River,Coho,Counted Live,0
6/26,1984,Kogrukluk River,Sockeye,Counted Live,1
6/26,1985,Kogrukluk River,Chinook,Estimated,0
6/26,1985,Kogrukluk River,Chum,Estimated,0
6/26,1985,Kogrukluk River,Coho,Estimated,0
6/26,1985,Kogrukluk River,Sockeye,Estimated,0
6/26,1986,Kogrukluk River,Chum,Estimated,0
6/26,1986,Kogrukluk River,Coho,Estimated,0
6/26,1986,Kogrukluk River,Sockeye,Estimated,0
6/26,1987,Kogrukluk River,Coho,Estimated,0
6/26,1988,Kogrukluk River,Chinook,Estimated,0
6/26,1988,Kogrukluk River,Chum,Estimated,0
6/26,1988,Kogrukluk River,Coho,Estimated,0
6/26,1988,Kogrukluk River,Sockeye,Estimated,0
6/26,1990,Kogrukluk River,Chinook,Estimated,0
6/26,1990,Kogrukluk River,Chum,Estimated,0
6/26,1990,Kogrukluk River,Coho,Estimated,0
6/26,1990,Kogrukluk River,Sockeye,Estimated,0
