date,year,location,species,type,count
6/3,2017,Kwethluk River,Chinook,Counted Live,0
6/3,2017,Kwethluk River,Chum,Counted Live,1
6/3,2017,Kwethluk River,Sockeye,Counted Live,0
6/4,2017,Kwethluk River,Chinook,Counted Live,0
6/4,2017,Kwethluk River,Chum,Counted Live,0
6/4,2017,Kwethluk River,Sockeye,Counted Live,0
6/5,2017,Kwethluk River,Chinook,Counted Live,0
6/5,2017,Kwethluk River,Chum,Counted Live,0
6/5,2017,Kwethluk River,Sockeye,Counted Live,0
6/6,2017,Kwethluk River,Chinook,Counted Live,0
6/6,2017,Kwethluk River,Chum,Counted Live,0
6/6,2017,Kwethluk River,Sockeye,Counted Live,0
6/7,2017,Kwethluk River,Chinook,Counted Live,0
6/7,2017,Kwethluk River,Chum,Counted Live,1
6/7,2017,Kwethluk River,Sockeye,Counted Live,0
6/8,2017,Kwethluk River,Chinook,Counted Live,1
6/8,2017,Kwethluk River,Chum,Counted Live,2
6/8,2017,Kwethluk River,Sockeye,Counted Live,0
6/9,2017,Kwethluk River,Chinook,Counted Live,0
6/9,2017,Kwethluk River,Chum,Counted Live,1
6/9,2017,Kwethluk River,Sockeye,Counted Live,1
6/10,2015,Kwethluk River,Chinook,Counted Live,0
6/10,2015,Kwethluk River,Chum,Counted Live,1
6/10,2015,Kwethluk River,Coho,Counted Live,0
6/10,2015,Kwethluk River,Sockeye,Counted Live,0
6/10,2016,Kwethluk River,Chinook,Counted Live,
6/10,2016,Kwethluk River,Chum,Counted Live,
6/10,2016,Kwethluk River,Coho,Counted Live,
6/10,2016,Kwethluk River,Sockeye,Counted Live,
6/10,2017,Kwethluk River,Chinook,Counted Live,0
6/10,2017,Kwethluk River,Chum,Counted Live,2
6/10,2017,Kwethluk River,Coho,Counted Live,0
6/10,2017,Kwethluk River,Sockeye,Counted Live,2
6/11,2015,Kwethluk River,Chinook,Counted Live,0
6/11,2015,Kwethluk River,Chum,Counted Live,0
6/11,2015,Kwethluk River,Coho,Counted Live,0
6/11,2015,Kwethluk River,Sockeye,Counted Live,0
6/11,2016,Kwethluk River,Chinook,Counted Live,
6/11,2016,Kwethluk River,Chum,Counted Live,
6/11,2016,Kwethluk River,Coho,Counted Live,
6/11,2016,Kwethluk River,Sockeye,Counted Live,
6/11,2017,Kwethluk River,Chinook,Counted Live,0
6/11,2017,Kwethluk River,Chum,Counted Live,6
6/11,2017,Kwethluk River,Coho,Counted Live,0
6/11,2017,Kwethluk River,Sockeye,Counted Live,2
6/12,2015,Kwethluk River,Chinook,Counted Live,0
6/12,2015,Kwethluk River,Chum,Counted Live,1
6/12,2015,Kwethluk River,Coho,Counted Live,0
6/12,2015,Kwethluk River,Sockeye,Counted Live,1
6/12,2016,Kwethluk River,Chinook,Counted Live,
6/12,2016,Kwethluk River,Chum,Counted Live,
6/12,2016,Kwethluk River,Coho,Counted Live,
6/12,2016,Kwethluk River,Sockeye,Counted Live,
6/12,2017,Kwethluk River,Chinook,Counted Live,0
6/12,2017,Kwethluk River,Chum,Counted Live,1
6/12,2017,Kwethluk River,Coho,Counted Live,0
6/12,2017,Kwethluk River,Sockeye,Counted Live,2
6/13,2015,Kwethluk River,Chinook,Counted Live,0
6/13,2015,Kwethluk River,Chum,Counted Live,0
6/13,2015,Kwethluk River,Coho,Counted Live,0
6/13,2015,Kwethluk River,Sockeye,Counted Live,4
6/13,2016,Kwethluk River,Chinook,Counted Live,
6/13,2016,Kwethluk River,Chum,Counted Live,
6/13,2016,Kwethluk River,Coho,Counted Live,
6/13,2016,Kwethluk River,Sockeye,Counted Live,
6/13,2017,Kwethluk River,Chinook,Counted Live,0
6/13,2017,Kwethluk River,Chum,Counted Live,5
6/13,2017,Kwethluk River,Coho,Counted Live,0
6/13,2017,Kwethluk River,Sockeye,Counted Live,0
6/14,2015,Kwethluk River,Chinook,Counted Live,0
6/14,2015,Kwethluk River,Chum,Counted Live,0
6/14,2015,Kwethluk River,Coho,Counted Live,0
6/14,2015,Kwethluk River,Sockeye,Counted Live,2
6/14,2016,Kwethluk River,Chinook,Counted Live,
6/14,2016,Kwethluk River,Chum,Counted Live,
6/14,2016,Kwethluk River,Coho,Counted Live,
6/14,2016,Kwethluk River,Sockeye,Counted Live,
6/14,2017,Kwethluk River,Chinook,Counted Live,0
6/14,2017,Kwethluk River,Chum,Counted Live,8
6/14,2017,Kwethluk River,Coho,Counted Live,0
6/14,2017,Kwethluk River,Sockeye,Counted Live,8
6/15,2001,Kwethluk River,Coho,Counted Live,0
6/15,2015,Kwethluk River,Chinook,Counted Live,0
6/15,2015,Kwethluk River,Chum,Counted Live,1
6/15,2015,Kwethluk River,Coho,Counted Live,0
6/15,2015,Kwethluk River,Sockeye,Counted Live,3
6/15,2016,Kwethluk River,Chinook,Counted Live,
6/15,2016,Kwethluk River,Chum,Counted Live,
6/15,2016,Kwethluk River,Coho,Counted Live,
6/15,2016,Kwethluk River,Sockeye,Counted Live,
6/15,2017,Kwethluk River,Chinook,Counted Live,0
6/15,2017,Kwethluk River,Chum,Counted Live,1
6/15,2017,Kwethluk River,Coho,Counted Live,0
6/15,2017,Kwethluk River,Sockeye,Counted Live,0
6/16,2001,Kwethluk River,Coho,Counted Live,0
6/16,2015,Kwethluk River,Chinook,Counted Live,0
6/16,2015,Kwethluk River,Chum,Counted Live,4
6/16,2015,Kwethluk River,Coho,Counted Live,0
6/16,2015,Kwethluk River,Sockeye,Counted Live,3
6/16,2016,Kwethluk River,Chinook,Counted Live,
6/16,2016,Kwethluk River,Chum,Counted Live,
6/16,2016,Kwethluk River,Coho,Counted Live,
6/16,2016,Kwethluk River,Sockeye,Counted Live,
6/16,2017,Kwethluk River,Chinook,Counted Live,1
