date,year,location,species,type,count
6/15,1996,Takotna River,Chinook,Calculated,0
6/15,1996,Takotna River,Chum,Calculated,0
6/16,1996,Takotna River,Chinook,Calculated,0
6/16,1996,Takotna River,Chum,Calculated,0
6/17,1996,Takotna River,Chinook,Calculated,0
6/17,1996,Takotna River,Chum,Calculated,0
6/17,1997,Takotna River,Chinook,Calculated,0
6/17,1997,Takotna River,Chum,Calculated,0
6/18,1996,Takotna River,Chinook,Calculated,0
6/18,1996,Takotna River,Chum,Calculated,0
6/18,1997,Takotna River,Chinook,Calculated,0
6/18,1997,Takotna River,Chum,Calculated,0
6/19,1996,Takotna River,Chinook,Calculated,0
6/19,1996,Takotna River,Chum,Calculated,0
6/19,1997,Takotna River,Chinook,Calculated,0
6/19,1997,Takotna River,Chum,Calculated,0
6/20,1996,Takotna River,Chinook,Calculated,0
6/20,1996,Takotna River,Chum,Calculated,0
6/20,1997,Takotna River,Chinook,Calculated,0
6/20,1997,Takotna River,Chum,Calculated,0
6/21,1996,Takotna River,Chinook,Calculated,0
6/21,1996,Takotna River,Chum,Calculated,14
6/21,1997,Takotna River,Chinook,Calculated,0
6/21,1997,Takotna River,Chum,Calculated,6
6/22,1996,Takotna River,Chinook,Calculated,0
6/22,1996,Takotna River,Chum,Calculated,0
6/22,1997,Takotna River,Chinook,Calculated,6
6/22,1997,Takotna River,Chum,Calculated,0
6/23,1996,Takotna River,Chinook,Calculated,0
6/23,1996,Takotna River,Chum,Calculated,0
6/23,1997,Takotna River,Chinook,Calculated,0
6/23,1997,Takotna River,Chum,Calculated,0
6/24,1996,Takotna River,Chinook,Calculated,0
6/24,1996,Takotna River,Chum,Calculated,102
6/24,1997,Takotna River,Chinook,Calculated,12
6/24,1997,Takotna River,Chum,Calculated,12
6/24,2000,Takotna River,Chinook,Counted Live,0
6/24,2000,Takotna River,Chum,Counted Live,1
6/24,2000,Takotna River,Coho,Counted Live,0
6/24,2000,Takotna River,Sockeye,Counted Live,0
6/24,2001,Takotna River,Chinook,Counted Live,1
6/24,2001,Takotna River,Chum,Counted Live,3
6/24,2001,Takotna River,Coho,Counted Live,0
6/24,2001,Takotna River,Sockeye,Counted Live,0
6/24,2002,Takotna River,Chinook,Counted Live,1
6/24,2002,Takotna River,Chum,Counted Live,29
6/24,2002,Takotna River,Coho,Counted Live,0
6/24,2002,Takotna River,Sockeye,Counted Live,0
6/24,2003,Takotna River,Chinook,Estimated,0
6/24,2003,Takotna River,Chum,Estimated,0
