date,year,location,species,type,count
6/15,1999,Tatlawiksuk River,Chinook,Counted Live,0
6/15,1999,Tatlawiksuk River,Chum,Counted Live,0
6/15,1999,Tatlawiksuk River,Coho,Counted Live,0
6/15,1999,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2000,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2000,Tatlawiksuk River,Chum,Counted Live,1
6/15,2000,Tatlawiksuk River,Coho,Counted Live,0
6/15,2000,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2001,Tatlawiksuk River,Chinook,Estimated,0
6/15,2001,Tatlawiksuk River,Chum,Estimated,0
6/15,2002,Tatlawiksuk River,Chinook,Estimated,0
6/15,2002,Tatlawiksuk River,Chum,Estimated,0
6/15,2002,Tatlawiksuk River,Coho,Estimated,0
6/15,2004,Tatlawiksuk River,Chinook,Counted Live,2
6/15,2004,Tatlawiksuk River,Chum,Counted Live,9
6/15,2004,Tatlawiksuk River,Coho,Counted Live,0
6/15,2004,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2005,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2005,Tatlawiksuk River,Chum,Counted Live,0
6/15,2005,Tatlawiksuk River,Coho,Counted Live,0
6/15,2005,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2006,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2006,Tatlawiksuk River,Chum,Counted Live,0
6/15,2006,Tatlawiksuk River,Coho,Counted Live,0
6/15,2006,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2007,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2007,Tatlawiksuk River,Chum,Counted Live,0
6/15,2007,Tatlawiksuk River,Coho,Counted Live,0
6/15,2007,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2008,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2008,Tatlawiksuk River,Chum,Counted Live,0
6/15,2008,Tatlawiksuk River,Coho,Counted Live,0
6/15,2008,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2009,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2009,Tatlawiksuk River,Chum,Counted Live,0
6/15,2009,Tatlawiksuk River,Coho,Counted Live,0
6/15,2009,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2010,Tatlawiksuk River,Chinook,Estimated,0
6/15,2010,Tatlawiksuk River,Chum,Estimated,0
6/15,2010,Tatlawiksuk River,Coho,Estimated,0
6/15,2011,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2011,Tatlawiksuk River,Chum,Counted Live,0
6/15,2011,Tatlawiksuk River,Coho,Counted Live,0
6/15,2011,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2012,Tatlawiksuk River,Chinook,Estimated,0
6/15,2012,Tatlawiksuk River,Chum,Estimated,0
6/15,2012,Tatlawiksuk River,Coho,Estimated,0
6/15,2013,Tatlawiksuk River,Chinook,Estimated,0
6/15,2013,Tatlawiksuk River,Chum,Estimated,0
6/15,2013,Tatlawiksuk River,Coho,Estimated,0
6/15,2014,Tatlawiksuk River,Chinook,Counted Live,2
6/15,2014,Tatlawiksuk River,Chum,Counted Live,3
6/15,2014,Tatlawiksuk River,Coho,Counted Live,0
6/15,2014,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2015,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2015,Tatlawiksuk River,Chum,Counted Live,0
6/15,2015,Tatlawiksuk River,Coho,Counted Live,0
6/15,2015,Tatlawiksuk River,Sockeye,Counted Live,0
6/15,2017,Tatlawiksuk River,Chinook,Counted Live,0
6/15,2017,Tatlawiksuk River,Chum,Counted Live,0
6/15,2017,Tatlawiksuk River,Coho,Counted Live,0
6/15,2017,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,1999,Tatlawiksuk River,Chinook,Counted Live,0
6/16,1999,Tatlawiksuk River,Chum,Counted Live,0
6/16,1999,Tatlawiksuk River,Coho,Counted Live,0
6/16,1999,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2000,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2000,Tatlawiksuk River,Chum,Counted Live,1
6/16,2000,Tatlawiksuk River,Coho,Counted Live,0
6/16,2000,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2001,Tatlawiksuk River,Chinook,Estimated,0
6/16,2001,Tatlawiksuk River,Chum,Estimated,0
6/16,2002,Tatlawiksuk River,Chinook,Estimated,0
6/16,2002,Tatlawiksuk River,Chum,Estimated,0
6/16,2002,Tatlawiksuk River,Coho,Estimated,0
6/16,2004,Tatlawiksuk River,Chinook,Counted Live,2
6/16,2004,Tatlawiksuk River,Chum,Counted Live,15
6/16,2004,Tatlawiksuk River,Coho,Counted Live,0
6/16,2004,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2005,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2005,Tatlawiksuk River,Chum,Counted Live,3
6/16,2005,Tatlawiksuk River,Coho,Counted Live,0
6/16,2005,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2006,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2006,Tatlawiksuk River,Chum,Counted Live,0
6/16,2006,Tatlawiksuk River,Coho,Counted Live,0
6/16,2006,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2007,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2007,Tatlawiksuk River,Chum,Counted Live,0
6/16,2007,Tatlawiksuk River,Coho,Counted Live,0
6/16,2007,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2008,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2008,Tatlawiksuk River,Chum,Counted Live,2
6/16,2008,Tatlawiksuk River,Coho,Counted Live,0
6/16,2008,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2009,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2009,Tatlawiksuk River,Chum,Counted Live,1
6/16,2009,Tatlawiksuk River,Coho,Counted Live,0
6/16,2009,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2010,Tatlawiksuk River,Chinook,Estimated,0
6/16,2010,Tatlawiksuk River,Chum,Estimated,0
6/16,2010,Tatlawiksuk River,Coho,Estimated,0
6/16,2011,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2011,Tatlawiksuk River,Chum,Counted Live,0
6/16,2011,Tatlawiksuk River,Coho,Counted Live,0
6/16,2011,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2012,Tatlawiksuk River,Chinook,Estimated,0
6/16,2012,Tatlawiksuk River,Chum,Estimated,0
6/16,2012,Tatlawiksuk River,Coho,Estimated,0
6/16,2013,Tatlawiksuk River,Chinook,Estimated,0
6/16,2013,Tatlawiksuk River,Chum,Estimated,0
6/16,2013,Tatlawiksuk River,Coho,Estimated,0
6/16,2014,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2014,Tatlawiksuk River,Chum,Counted Live,0
6/16,2014,Tatlawiksuk River,Coho,Counted Live,0
6/16,2014,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2015,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2015,Tatlawiksuk River,Chum,Counted Live,0
6/16,2015,Tatlawiksuk River,Coho,Counted Live,0
6/16,2015,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2016,Tatlawiksuk River,Chinook,Counted Live,0
6/16,2016,Tatlawiksuk River,Chum,Counted Live,0
6/16,2016,Tatlawiksuk River,Coho,Counted Live,0
6/16,2016,Tatlawiksuk River,Sockeye,Counted Live,0
6/16,2017,Tatlawiksuk River,Chinook,Estimated,0
6/16,2017,Tatlawiksuk River,Chum,Estimated,0
6/16,2017,Tatlawiksuk River,Coho,Counted Live,0
6/16,2017,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,1999,Tatlawiksuk River,Chinook,Counted Live,0
6/17,1999,Tatlawiksuk River,Chum,Counted Live,0
6/17,1999,Tatlawiksuk River,Coho,Counted Live,0
6/17,1999,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2000,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2000,Tatlawiksuk River,Chum,Counted Live,0
6/17,2000,Tatlawiksuk River,Coho,Counted Live,0
6/17,2000,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2001,Tatlawiksuk River,Chinook,Estimated,0
6/17,2001,Tatlawiksuk River,Chum,Estimated,0
6/17,2002,Tatlawiksuk River,Chinook,Estimated,0
6/17,2002,Tatlawiksuk River,Chum,Estimated,4
6/17,2002,Tatlawiksuk River,Coho,Estimated,0
6/17,2002,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2004,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2004,Tatlawiksuk River,Chum,Counted Live,7
6/17,2004,Tatlawiksuk River,Coho,Counted Live,0
6/17,2004,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2005,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2005,Tatlawiksuk River,Chum,Counted Live,0
6/17,2005,Tatlawiksuk River,Coho,Counted Live,0
6/17,2005,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2006,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2006,Tatlawiksuk River,Chum,Counted Live,0
6/17,2006,Tatlawiksuk River,Coho,Counted Live,0
6/17,2006,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2007,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2007,Tatlawiksuk River,Chum,Counted Live,0
6/17,2007,Tatlawiksuk River,Coho,Counted Live,0
6/17,2007,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2008,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2008,Tatlawiksuk River,Chum,Counted Live,0
6/17,2008,Tatlawiksuk River,Coho,Counted Live,0
6/17,2008,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2009,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2009,Tatlawiksuk River,Chum,Counted Live,2
6/17,2009,Tatlawiksuk River,Coho,Counted Live,0
6/17,2009,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2010,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2010,Tatlawiksuk River,Chum,Counted Live,0
6/17,2010,Tatlawiksuk River,Coho,Counted Live,0
6/17,2010,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2011,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2011,Tatlawiksuk River,Chum,Counted Live,3
6/17,2011,Tatlawiksuk River,Coho,Counted Live,0
6/17,2011,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2012,Tatlawiksuk River,Chinook,Estimated,0
6/17,2012,Tatlawiksuk River,Chum,Estimated,0
6/17,2012,Tatlawiksuk River,Coho,Estimated,0
6/17,2013,Tatlawiksuk River,Chinook,Estimated,0
6/17,2013,Tatlawiksuk River,Chum,Estimated,0
6/17,2013,Tatlawiksuk River,Coho,Estimated,0
6/17,2014,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2014,Tatlawiksuk River,Chum,Counted Live,1
6/17,2014,Tatlawiksuk River,Coho,Counted Live,0
6/17,2014,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2015,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2015,Tatlawiksuk River,Chum,Counted Live,0
6/17,2015,Tatlawiksuk River,Coho,Counted Live,0
6/17,2015,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2016,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2016,Tatlawiksuk River,Chum,Counted Live,2
6/17,2016,Tatlawiksuk River,Coho,Counted Live,0
6/17,2016,Tatlawiksuk River,Sockeye,Counted Live,0
6/17,2017,Tatlawiksuk River,Chinook,Counted Live,0
6/17,2017,Tatlawiksuk River,Chum,Counted Live,3
6/17,2017,Tatlawiksuk River,Coho,Counted Live,0
6/17,2017,Tatlawiksuk River,Sockeye,Counted Live,0
6/18,1998,Tatlawiksuk River,Chinook,Counted Live,0
6/18,1998,Tatlawiksuk River,Chum,Counted Live,0
6/18,1998,Tatlawiksuk River,Coho,Counted Live,0
6/18,1998,Tatlawiksuk River,Sockeye,Counted Live,0
6/18,1999,Tatlawiksuk River,Chinook,Counted Live,0
