date,year,location,species,type,count
6/8,2014,Tuluksak River,Chinook,Counted Live,
6/9,2014,Tuluksak River,Chinook,Counted Live,
6/10,2002,Tuluksak River,Chinook,Counted Live,0
6/10,2002,Tuluksak River,Chum,Counted Live,0
6/10,2002,Tuluksak River,Coho,Counted Live,0
6/10,2002,Tuluksak River,Pink,Counted Live,0
6/10,2002,Tuluksak River,Sockeye,Counted Live,0
6/10,2014,Tuluksak River,Chinook,Counted Live,
6/11,2002,Tuluksak River,Chinook,Counted Live,0
6/11,2002,Tuluksak River,Chum,Counted Live,0
6/11,2002,Tuluksak River,Coho,Counted Live,0
6/11,2002,Tuluksak River,Pink,Counted Live,0
6/11,2002,Tuluksak River,Sockeye,Counted Live,0
6/11,2010,Tuluksak River,Sockeye,Counted Live,0
6/11,2014,Tuluksak River,Chinook,Counted Live,
6/12,1991,Tuluksak River,Chinook,Counted Live,0
6/12,1991,Tuluksak River,Chum,Counted Live,0
6/12,1991,Tuluksak River,Coho,Counted Live,0
6/12,1991,Tuluksak River,Pink,Counted Live,0
6/12,1991,Tuluksak River,Sockeye,Counted Live,0
6/12,2002,Tuluksak River,Chinook,Counted Live,0
6/12,2002,Tuluksak River,Chum,Counted Live,0
6/12,2002,Tuluksak River,Coho,Counted Live,0
6/12,2002,Tuluksak River,Pink,Counted Live,0
6/12,2002,Tuluksak River,Sockeye,Counted Live,0
6/12,2010,Tuluksak River,Sockeye,Counted Live,0
6/12,2014,Tuluksak River,Chinook,Counted Live,
6/13,1991,Tuluksak River,Chinook,Counted Live,0
6/13,1991,Tuluksak River,Chum,Counted Live,0
6/13,1991,Tuluksak River,Coho,Counted Live,0
6/13,1991,Tuluksak River,Pink,Counted Live,0
6/13,1991,Tuluksak River,Sockeye,Counted Live,0
6/13,2002,Tuluksak River,Chinook,Counted Live,0
6/13,2002,Tuluksak River,Chum,Counted Live,0
6/13,2002,Tuluksak River,Coho,Counted Live,0
6/13,2002,Tuluksak River,Pink,Counted Live,0
