"year","stock","a4","a5","a6","a7","n"
1976,"George",NA,NA,NA,NA,0
1977,"George",NA,NA,NA,NA,0
1978,"George",NA,NA,NA,NA,0
1979,"George",NA,NA,NA,NA,0
1980,"George",NA,NA,NA,NA,0
1981,"George",NA,NA,NA,NA,0
1982,"George",NA,NA,NA,NA,0
1983,"George",NA,NA,NA,NA,0
1984,"George",NA,NA,NA,NA,0
1985,"George",NA,NA,NA,NA,0
1986,"George",NA,NA,NA,NA,0
1987,"George",NA,NA,NA,NA,0
1988,"George",NA,NA,NA,NA,0
1989,"George",NA,NA,NA,NA,0
1990,"George",NA,NA,NA,NA,0
1991,"George",NA,NA,NA,NA,0
1992,"George",NA,NA,NA,NA,0
1993,"George",NA,NA,NA,NA,0
1994,"George",NA,NA,NA,NA,0
1995,"George",NA,NA,NA,NA,0
1996,"George",15,47,75,54,191
1997,"George",92,30,146,0,268
1998,"George",25,41,14,0,80
1999,"George",5,8,42,0,55
2000,"George",8,17,46,2,73
2001,"George",8,14,34,6,62
2002,"George",41,55,191,28,315
2003,"George",2,4,13,4,23
2004,"George",66,57,138,8,269
2005,"George",52,212,191,16,471
2006,"George",52,60,87,22,221
2007,"George",154,53,39,3,249
2008,"George",55,142,82,10,289
2009,"George",36,37,77,2,152
2010,"George",56,44,52,8,160
2011,"George",57,58,57,5,177
2012,"George",40,60,35,1,136
2013,"George",27,33,25,0,85
2014,"George",21,36,95,3,155
2015,"George",90,36,45,0,171
2016,"George",16,22,6,0,44
2017,"George",67,119,42,0,228
1976,"Kogrukluk",26,144,176,1,347
1977,"Kogrukluk",NA,NA,NA,NA,0
1978,"Kogrukluk",91,53,294,76,514
1979,"Kogrukluk",251,55,64,13,383
1980,"Kogrukluk",35,57,17,9,118
1981,"Kogrukluk",59,232,462,31,784
1982,"Kogrukluk",37,89,245,20,391
1983,"Kogrukluk",87,110,229,22,448
1984,"Kogrukluk",291,656,372,56,1375
1985,"Kogrukluk",176,368,466,31,1041
1986,"Kogrukluk",58,397,186,36,677
1987,"Kogrukluk",130,98,187,4,419
1988,"Kogrukluk",73,453,275,66,867
1989,"Kogrukluk",33,54,126,4,217
1990,"Kogrukluk",95,220,42,0,357
1991,"Kogrukluk",21,95,194,5,315
1992,"Kogrukluk",67,148,125,8,348
1993,"Kogrukluk",110,72,115,16,313
1994,"Kogrukluk",22,129,69,2,222
1995,"Kogrukluk",102,136,294,1,533
1996,"Kogrukluk",52,253,140,37,482
1997,"Kogrukluk",156,95,217,3,471
1998,"Kogrukluk",4,47,33,2,86
1999,"Kogrukluk",15,78,206,5,304
2000,"Kogrukluk",10,49,37,2,98
2001,"Kogrukluk",65,139,194,9,407
2002,"Kogrukluk",78,229,151,8,466
2003,"Kogrukluk",78,169,160,13,420
2004,"Kogrukluk",322,256,149,4,731
2005,"Kogrukluk",188,341,206,7,742
2006,"Kogrukluk",245,217,213,33,708
2007,"Kogrukluk",93,93,91,12,289
2008,"Kogrukluk",108,121,62,5,296
2009,"Kogrukluk",54,128,59,3,244
2010,"Kogrukluk",135,85,73,5,298
2011,"Kogrukluk",131,83,54,0,268
2012,"Kogrukluk",3,47,36,0,86
2013,"Kogrukluk",14,20,27,0,61
2014,"Kogrukluk",18,51,35,1,105
2015,"Kogrukluk",121,90,14,0,225
2016,"Kogrukluk",56,118,26,0,200
2017,"Kogrukluk",57,78,52,0,187
1976,"Kwethluk",NA,NA,NA,NA,0
1977,"Kwethluk",NA,NA,NA,NA,0
1978,"Kwethluk",NA,NA,NA,NA,0
1979,"Kwethluk",NA,NA,NA,NA,0
1980,"Kwethluk",NA,NA,NA,NA,0
1981,"Kwethluk",NA,NA,NA,NA,0
1982,"Kwethluk",NA,NA,NA,NA,0
1983,"Kwethluk",NA,NA,NA,NA,0
1984,"Kwethluk",NA,NA,NA,NA,0
1985,"Kwethluk",NA,NA,NA,NA,0
1986,"Kwethluk",NA,NA,NA,NA,0
1987,"Kwethluk",NA,NA,NA,NA,0
1988,"Kwethluk",NA,NA,NA,NA,0
1989,"Kwethluk",NA,NA,NA,NA,0
1990,"Kwethluk",NA,NA,NA,NA,0
1991,"Kwethluk",NA,NA,NA,NA,0
1992,"Kwethluk",287,156,195,15,653
1993,"Kwethluk",NA,NA,NA,NA,0
1994,"Kwethluk",NA,NA,NA,NA,0
1995,"Kwethluk",NA,NA,NA,NA,0
1996,"Kwethluk",NA,NA,NA,NA,0
1997,"Kwethluk",NA,NA,NA,NA,0
1998,"Kwethluk",NA,NA,NA,NA,0
1999,"Kwethluk",NA,NA,NA,NA,0
2000,"Kwethluk",94,102,82,23,301
2001,"Kwethluk",0,0,2,0,2
2002,"Kwethluk",358,268,165,17,808
2003,"Kwethluk",344,496,258,30,1128
2004,"Kwethluk",620,288,231,5,1144
2005,"Kwethluk",NA,NA,NA,NA,0
2006,"Kwethluk",279,210,395,38,922
2007,"Kwethluk",368,264,182,11,825
2008,"Kwethluk",113,241,195,19,568
2009,"Kwethluk",68,115,303,3,489
2010,"Kwethluk",61,137,121,15,334
2011,"Kwethluk",161,149,260,11,581
2012,"Kwethluk",11,60,16,0,87
2013,"Kwethluk",11,7,19,1,38
2014,"Kwethluk",62,234,175,7,478
2015,"Kwethluk",450,391,44,0,885
2016,"Kwethluk",25,23,5,0,53
2017,"Kwethluk",118,137,39,0,294
1976,"Takotna",NA,NA,NA,NA,0
1977,"Takotna",NA,NA,NA,NA,0
1978,"Takotna",NA,NA,NA,NA,0
1979,"Takotna",NA,NA,NA,NA,0
1980,"Takotna",NA,NA,NA,NA,0
1981,"Takotna",NA,NA,NA,NA,0
1982,"Takotna",NA,NA,NA,NA,0
1983,"Takotna",NA,NA,NA,NA,0
1984,"Takotna",NA,NA,NA,NA,0
1985,"Takotna",NA,NA,NA,NA,0
1986,"Takotna",NA,NA,NA,NA,0
1987,"Takotna",NA,NA,NA,NA,0
1988,"Takotna",NA,NA,NA,NA,0
1989,"Takotna",NA,NA,NA,NA,0
1990,"Takotna",NA,NA,NA,NA,0
1991,"Takotna",NA,NA,NA,NA,0
1992,"Takotna",NA,NA,NA,NA,0
1993,"Takotna",NA,NA,NA,NA,0
1994,"Takotna",NA,NA,NA,NA,0
1995,"Takotna",NA,NA,NA,NA,0
1996,"Takotna",NA,NA,NA,NA,0
1997,"Takotna",NA,NA,NA,NA,0
1998,"Takotna",NA,NA,NA,NA,0
1999,"Takotna",NA,NA,NA,NA,0
2000,"Takotna",23,27,26,1,77
2001,"Takotna",6,22,56,1,85
2002,"Takotna",20,34,43,0,97
2003,"Takotna",7,29,25,1,62
2004,"Takotna",29,16,23,1,69
2005,"Takotna",35,95,40,0,170
2006,"Takotna",116,82,60,7,265
2007,"Takotna",138,87,40,4,269
2008,"Takotna",34,83,37,1,155
2009,"Takotna",33,30,44,0,107
2010,"Takotna",51,14,8,0,73
2011,"Takotna",23,23,10,0,56
2012,"Takotna",16,23,3,0,42
2013,"Takotna",NA,NA,NA,NA,0
2014,"Takotna",NA,NA,NA,NA,0
2015,"Takotna",NA,NA,NA,NA,0
2016,"Takotna",NA,NA,NA,NA,0
2017,"Takotna",NA,NA,NA,NA,0
1976,"Tatlawiksuk",NA,NA,NA,NA,0
1977,"Tatlawiksuk",NA,NA,NA,NA,0
1978,"Tatlawiksuk",NA,NA,NA,NA,0
1979,"Tatlawiksuk",NA,NA,NA,NA,0
1980,"Tatlawiksuk",NA,NA,NA,NA,0
1981,"Tatlawiksuk",NA,NA,NA,NA,0
1982,"Tatlawiksuk",NA,NA,NA,NA,0
1983,"Tatlawiksuk",NA,NA,NA,NA,0
1984,"Tatlawiksuk",NA,NA,NA,NA,0
1985,"Tatlawiksuk",NA,NA,NA,NA,0
1986,"Tatlawiksuk",NA,NA,NA,NA,0
1987,"Tatlawiksuk",NA,NA,NA,NA,0
1988,"Tatlawiksuk",NA,NA,NA,NA,0
1989,"Tatlawiksuk",NA,NA,NA,NA,0
1990,"Tatlawiksuk",NA,NA,NA,NA,0
1991,"Tatlawiksuk",NA,NA,NA,NA,0
1992,"Tatlawiksuk",NA,NA,NA,NA,0
1993,"Tatlawiksuk",NA,NA,NA,NA,0
1994,"Tatlawiksuk",NA,NA,NA,NA,0
1995,"Tatlawiksuk",NA,NA,NA,NA,0
1996,"Tatlawiksuk",NA,NA,NA,NA,0
1997,"Tatlawiksuk",NA,NA,NA,NA,0
1998,"Tatlawiksuk",0,13,2,0,15
1999,"Tatlawiksuk",NA,NA,NA,NA,0
2000,"Tatlawiksuk",0,3,4,0,7
2001,"Tatlawiksuk",9,31,31,3,74
2002,"Tatlawiksuk",53,54,157,14,278
2003,"Tatlawiksuk",3,22,11,3,39
2004,"Tatlawiksuk",92,124,85,0,301
2005,"Tatlawiksuk",48,187,143,6,384
2006,"Tatlawiksuk",38,79,53,8,178
2007,"Tatlawiksuk",96,121,53,4,274
2008,"Tatlawiksuk",10,54,29,0,93
2009,"Tatlawiksuk",30,39,24,0,93
2010,"Tatlawiksuk",25,32,19,2,78
2011,"Tatlawiksuk",55,37,27,3,122
2012,"Tatlawiksuk",21,58,12,0,91
2013,"Tatlawiksuk",3,28,34,1,66
2014,"Tatlawiksuk",14,39,41,0,94
2015,"Tatlawiksuk",68,88,19,0,175
2016,"Tatlawiksuk",15,36,9,0,60
2017,"Tatlawiksuk",28,74,27,0,129
1976,"Tuluksak",NA,NA,NA,NA,0
1977,"Tuluksak",NA,NA,NA,NA,0
1978,"Tuluksak",NA,NA,NA,NA,0
1979,"Tuluksak",NA,NA,NA,NA,0
1980,"Tuluksak",NA,NA,NA,NA,0
1981,"Tuluksak",NA,NA,NA,NA,0
1982,"Tuluksak",NA,NA,NA,NA,0
1983,"Tuluksak",NA,NA,NA,NA,0
1984,"Tuluksak",NA,NA,NA,NA,0
1985,"Tuluksak",NA,NA,NA,NA,0
1986,"Tuluksak",NA,NA,NA,NA,0
1987,"Tuluksak",NA,NA,NA,NA,0
1988,"Tuluksak",NA,NA,NA,NA,0
1989,"Tuluksak",NA,NA,NA,NA,0
1990,"Tuluksak",NA,NA,NA,NA,0
1991,"Tuluksak",54,99,144,42,339
1992,"Tuluksak",211,184,91,7,493
1993,"Tuluksak",343,158,106,6,613
1994,"Tuluksak",84,240,114,19,457
1995,"Tuluksak",NA,NA,NA,NA,0
1996,"Tuluksak",NA,NA,NA,NA,0
1997,"Tuluksak",NA,NA,NA,NA,0
1998,"Tuluksak",NA,NA,NA,NA,0
1999,"Tuluksak",NA,NA,NA,NA,0
2000,"Tuluksak",NA,NA,NA,NA,0
2001,"Tuluksak",2,4,15,2,23
2002,"Tuluksak",67,62,57,6,192
2003,"Tuluksak",76,91,47,10,224
2004,"Tuluksak",65,108,77,3,253
2005,"Tuluksak",152,141,145,1,439
2006,"Tuluksak",53,48,42,5,148
2007,"Tuluksak",29,52,105,9,195
2008,"Tuluksak",33,126,88,9,256
2009,"Tuluksak",41,80,98,2,221
2010,"Tuluksak",27,39,19,0,85
2011,"Tuluksak",3,4,12,0,19
2012,"Tuluksak",0,2,1,0,3
2013,"Tuluksak",3,2,2,0,7
2014,"Tuluksak",11,27,13,2,53
2015,"Tuluksak",82,67,18,0,167
2016,"Tuluksak",98,109,6,0,213
2017,"Tuluksak",84,36,15,1,136
