"year","stock","a4","a5","a6","a7","ess"
1976,"George",NA,NA,NA,NA,0
1977,"George",NA,NA,NA,NA,0
1978,"George",NA,NA,NA,NA,0
1979,"George",NA,NA,NA,NA,0
1980,"George",NA,NA,NA,NA,0
1981,"George",NA,NA,NA,NA,0
1982,"George",NA,NA,NA,NA,0
1983,"George",NA,NA,NA,NA,0
1984,"George",NA,NA,NA,NA,0
1985,"George",NA,NA,NA,NA,0
1986,"George",NA,NA,NA,NA,0
1987,"George",NA,NA,NA,NA,0
1988,"George",NA,NA,NA,NA,0
1989,"George",NA,NA,NA,NA,0
1990,"George",NA,NA,NA,NA,0
1991,"George",NA,NA,NA,NA,0
1992,"George",NA,NA,NA,NA,0
1993,"George",NA,NA,NA,NA,0
1994,"George",NA,NA,NA,NA,0
1995,"George",NA,NA,NA,NA,0
1996,"George",0.0797499779850569,0.245282028355247,0.392475631151483,0.282492362508213,191
1997,"George",0.343857217573222,0.111549424686192,0.544593357740586,0,269
1998,"George",0.31,0.51,0.18,0,80
1999,"George",0.09,0.15,0.76,0,55
2000,"George",0.108907578022174,0.232828429294845,0.633836750172887,0.0244272425100944,72
2001,"George",0.129536651843351,0.228374695165686,0.540955386601635,0.101133266389327,62
2002,"George",0.131061879800877,0.174418125473906,0.6057635248739,0.0887564698513171,315
2003,"George",0.09,0.17,0.57,0.17,23
2004,"George",0.245190253082668,0.21249534414146,0.51401266393523,0.0283017388406422,268
2005,"George",0.110064449573549,0.451141804692262,0.404651623222687,0.0341421225115014,471
2006,"George",0.232801437663935,0.272173405524118,0.393749668382236,0.101275488429712,222
2007,"George",0.619487600666165,0.211750659700834,0.154974562544202,0.0137871770887992,249
2008,"George",0.190326250276631,0.491631173732252,0.284780810908399,0.0332617650827176,288
2009,"George",0.235939024893129,0.243105936688155,0.506178609228739,0.0147764291899768,152
2010,"George",0.348366647083738,0.273345811757955,0.325536595029579,0.0527509461287282,161
2011,"George",0.323511198945982,0.329888010540184,0.319565217391304,0.0270355731225296,177
2012,"George",0.295176837106743,0.440539637953987,0.254703990557708,0.00957953438156191,137
2013,"George",0.317780373831776,0.38892523364486,0.288551401869159,0.00474299065420561,85
2014,"George",0.136403380938502,0.232425965716145,0.610700656802207,0.0204699965431463,155
2015,"George",0.527910182303246,0.208154735437972,0.263935082258782,0,171
2016,"George",0.365642994241843,0.497600767754319,0.136756238003839,0,44
2017,"George",0.295608212367929,0.520825501209186,0.183566286422884,0,228
