"year","stock","a4","a5","a6","a7","ess"
1976,"Kogrukluk",0.0758995376170276,0.414180956658188,0.505941157539315,0.00397834818546957,347
1977,"Kogrukluk",NA,NA,NA,NA,0
1978,"Kogrukluk",0.176797600265433,0.10382297819579,0.571457483634241,0.147921937904536,514
1979,"Kogrukluk",0.654214718668511,0.143331865352672,0.16767323846889,0.0347801775099271,383
1980,"Kogrukluk",0.298967971530249,0.482064056939502,0.141743772241993,0.0772241992882562,118
1981,"Kogrukluk",0.0753609599560386,0.29609158467535,0.5888398580371,0.0397075973315115,785
1982,"Kogrukluk",0.0939579553087187,0.228198213551744,0.625826307505689,0.0520175236338483,391
1983,"Kogrukluk",0.193894389438944,0.246287128712871,0.510313531353135,0.0495049504950495,448
1984,"Kogrukluk",0.211495047363815,0.477096205033681,0.270740742986376,0.0406680046161277,1374
1985,"Kogrukluk",0.168976912630149,0.353463105477592,0.44803983703033,0.0295201448619285,1041
1986,"Kogrukluk",0.0862347354138399,0.586275440976934,0.274172320217096,0.0533175033921303,678
1987,"Kogrukluk",0.311418050295509,0.232934516243169,0.446644563550826,0.00900286991049549,419
1988,"Kogrukluk",0.0836949022614028,0.522610195477194,0.317536731825731,0.0761581704356714,867
1989,"Kogrukluk",0.15,0.25,0.58,0.02,217
1990,"Kogrukluk",0.265618464638447,0.615689447251523,0.118692088110031,0,358
1991,"Kogrukluk",0.0679098121834237,0.301295441301717,0.615670805504505,0.0151239410103546,315
1992,"Kogrukluk",0.192383263598326,0.42467280334728,0.35883179916318,0.0241121338912134,349
1993,"Kogrukluk",0.351241261326726,0.231151943824184,0.366365168364953,0.0512416264841367,313
1994,"Kogrukluk",0.100993799794197,0.57907284339721,0.311948865410865,0.00798449139772771,222
1995,"Kogrukluk",0.192069411511102,0.255169217503772,0.550824531148955,0.00193683983617159,533
1996,"Kogrukluk",0.107664123171939,0.525282886144528,0.29012780395488,0.0769251867286528,482
1997,"Kogrukluk",0.331435477561057,0.202267957053348,0.460345293317685,0.00595127206790986,472
1998,"Kogrukluk",0.05,0.55,0.38,0.02,86
1999,"Kogrukluk",0.0482402031930334,0.257986211901306,0.676665457184325,0.0171081277213353,304
2000,"Kogrukluk",0.103980743691899,0.495534528552457,0.380096281540505,0.0203884462151394,98
2001,"Kogrukluk",0.159934318555008,0.342222222222222,0.475604816639299,0.0222386425834702,407
2002,"Kogrukluk",0.167009914267925,0.491278118364545,0.324643381707298,0.0170685856602328,466
2003,"Kogrukluk",0.185012169534201,0.402303818715904,0.38240285354595,0.0302811582039446,419
2004,"Kogrukluk",0.440588953349358,0.349660093376792,0.203672652681122,0.00607830059272869,731
2005,"Kogrukluk",0.253331494828489,0.459490072550964,0.277208519847741,0.00996991277280565,743
2006,"Kogrukluk",0.34585168752971,0.306395183013785,0.301357946442719,0.0463951830137855,707
2007,"Kogrukluk",0.322568733213189,0.320867564488182,0.316297448878144,0.0402662534204853,289
2008,"Kogrukluk",0.365004773654387,0.409049484817299,0.209841374151178,0.0161043673771352,295
2009,"Kogrukluk",0.222007519315307,0.523940375753655,0.240270228708088,0.0137818762229493,245
2010,"Kogrukluk",0.452871431548239,0.285972077516149,0.245832465096895,0.0153240258387164,298
2011,"Kogrukluk",0.489830533893221,0.309562087582483,0.200607378524295,0,268
2012,"Kogrukluk",0.037185628742515,0.543383233532934,0.419431137724551,0,87
2013,"Kogrukluk",0.222385561109078,0.331007254246644,0.446607184644278,0,61
2014,"Kogrukluk",0.166859894046986,0.48640430682361,0.334830845530812,0.0119049535985916,105
2015,"Kogrukluk",0.535610086224183,0.401140465209545,0.0632494485662723,0,225
2016,"Kogrukluk",0.280946575243308,0.588169086849826,0.130884337906867,0,201
2017,"Kogrukluk",0.303836649759397,0.41711405904539,0.279049291195214,0,187
