"year","stock","a4","a5","a6","a7","ess"
1976,"Kwethluk",NA,NA,NA,NA,0
1977,"Kwethluk",NA,NA,NA,NA,0
1978,"Kwethluk",NA,NA,NA,NA,0
1979,"Kwethluk",NA,NA,NA,NA,0
1980,"Kwethluk",NA,NA,NA,NA,0
1981,"Kwethluk",NA,NA,NA,NA,0
1982,"Kwethluk",NA,NA,NA,NA,0
1983,"Kwethluk",NA,NA,NA,NA,0
1984,"Kwethluk",NA,NA,NA,NA,0
1985,"Kwethluk",NA,NA,NA,NA,0
1986,"Kwethluk",NA,NA,NA,NA,0
1987,"Kwethluk",NA,NA,NA,NA,0
1988,"Kwethluk",NA,NA,NA,NA,0
1989,"Kwethluk",NA,NA,NA,NA,0
1990,"Kwethluk",NA,NA,NA,NA,0
1991,"Kwethluk",NA,NA,NA,NA,0
1992,"Kwethluk",0.439855490052871,0.238455793905888,0.299378426435829,0.0223102896054122,653
1993,"Kwethluk",NA,NA,NA,NA,0
1994,"Kwethluk",NA,NA,NA,NA,0
1995,"Kwethluk",NA,NA,NA,NA,0
1996,"Kwethluk",NA,NA,NA,NA,0
1997,"Kwethluk",NA,NA,NA,NA,0
1998,"Kwethluk",NA,NA,NA,NA,0
1999,"Kwethluk",NA,NA,NA,NA,0
2000,"Kwethluk",0.311407384306184,0.339816114258653,0.271413390624368,0.0773631108107952,301
2001,"Kwethluk",0,0,1,0,2
2002,"Kwethluk",0.4431440478266,0.332064181228172,0.203757965007396,0.0210338059378322,808
2003,"Kwethluk",0.305158569460421,0.439809437316514,0.228687151406516,0.0263448418165497,1128
2004,"Kwethluk",0.541683248586516,0.251895621598359,0.201688503147454,0.00473262666767156,1144
2005,"Kwethluk",NA,NA,NA,NA,0
2006,"Kwethluk",0.302402897464718,0.227579617834395,0.428398900961659,0.0416185837392282,921
2007,"Kwethluk",0.445519839758048,0.320054629354786,0.220812599966188,0.0136129309209783,826
2008,"Kwethluk",0.198455331412104,0.424349663784822,0.343408261287224,0.0337867435158501,567
2009,"Kwethluk",0.138910724508786,0.235294220631772,0.620008858745035,0.00578619611440737,488
2010,"Kwethluk",0.181631245993251,0.409698450521936,0.363335067071474,0.0453352364133393,334
2011,"Kwethluk",0.27723694581785,0.257019725864734,0.447240733347665,0.0185025949697509,581
2012,"Kwethluk",0.123172561629153,0.693011789924973,0.183815648445874,0,86
2013,"Kwethluk",0.281700589917555,0.178554761819291,0.511529118952747,0.0282155293104067,38
2014,"Kwethluk",0.130116043125777,0.488855433891575,0.365989358817314,0.0150391641653342,478
2015,"Kwethluk",0.508229865606737,0.44157434918636,0.0501957852069027,0,885
2016,"Kwethluk",0.469861976847729,0.432653606411398,0.0974844167408727,0,53
2017,"Kwethluk",0.401621112158341,0.466189578564696,0.132189309276962,0,294
