"year","stock","a4","a5","a6","a7","ess"
1976,"Takotna",NA,NA,NA,NA,0
1977,"Takotna",NA,NA,NA,NA,0
1978,"Takotna",NA,NA,NA,NA,0
1979,"Takotna",NA,NA,NA,NA,0
1980,"Takotna",NA,NA,NA,NA,0
1981,"Takotna",NA,NA,NA,NA,0
1982,"Takotna",NA,NA,NA,NA,0
1983,"Takotna",NA,NA,NA,NA,0
1984,"Takotna",NA,NA,NA,NA,0
1985,"Takotna",NA,NA,NA,NA,0
1986,"Takotna",NA,NA,NA,NA,0
1987,"Takotna",NA,NA,NA,NA,0
1988,"Takotna",NA,NA,NA,NA,0
1989,"Takotna",NA,NA,NA,NA,0
1990,"Takotna",NA,NA,NA,NA,0
1991,"Takotna",NA,NA,NA,NA,0
1992,"Takotna",NA,NA,NA,NA,0
1993,"Takotna",NA,NA,NA,NA,0
1994,"Takotna",NA,NA,NA,NA,0
1995,"Takotna",NA,NA,NA,NA,0
1996,"Takotna",NA,NA,NA,NA,0
1997,"Takotna",NA,NA,NA,NA,0
1998,"Takotna",NA,NA,NA,NA,0
1999,"Takotna",NA,NA,NA,NA,0
2000,"Takotna",0.29622418879056,0.344454277286136,0.343834808259587,0.0154867256637168,77
2001,"Takotna",0.0729811866859624,0.257235890014472,0.653473227206946,0.0163096960926194,86
2002,"Takotna",0.205439739413681,0.351302931596091,0.43885993485342,0.00439739413680782,98
2003,"Takotna",0.111509433962264,0.473522012578616,0.405220125786164,0.00974842767295597,61
2004,"Takotna",0.416545372115775,0.228852991004319,0.337731752129614,0.0168698847502923,69
2005,"Takotna",0.207615571776156,0.556520681265207,0.235863746958637,0,170
2006,"Takotna",0.439068441064639,0.308365019011407,0.226939163498099,0.0256273764258555,265
2007,"Takotna",0.514455445544554,0.323044554455446,0.148415841584158,0.0140841584158416,269
2008,"Takotna",0.218880241024354,0.536379613356766,0.241225207130304,0.00351493848857645,154
2009,"Takotna",0.305632229232387,0.284108832807571,0.410258937960042,0,107
2010,"Takotna",0.694375,0.194488636363636,0.111136363636364,0,74
2011,"Takotna",0.412511332728921,0.408884859474161,0.178603807796918,0,56
2012,"Takotna",0.378913423209567,0.551350382944417,0.069736193846016,0,42
2013,"Takotna",NA,NA,NA,NA,0
2014,"Takotna",NA,NA,NA,NA,0
2015,"Takotna",NA,NA,NA,NA,0
2016,"Takotna",NA,NA,NA,NA,0
2017,"Takotna",NA,NA,NA,NA,0
