"year","stock","a4","a5","a6","a7","ess"
1976,"Tatlawiksuk",NA,NA,NA,NA,0
1977,"Tatlawiksuk",NA,NA,NA,NA,0
1978,"Tatlawiksuk",NA,NA,NA,NA,0
1979,"Tatlawiksuk",NA,NA,NA,NA,0
1980,"Tatlawiksuk",NA,NA,NA,NA,0
1981,"Tatlawiksuk",NA,NA,NA,NA,0
1982,"Tatlawiksuk",NA,NA,NA,NA,0
1983,"Tatlawiksuk",NA,NA,NA,NA,0
1984,"Tatlawiksuk",NA,NA,NA,NA,0
1985,"Tatlawiksuk",NA,NA,NA,NA,0
1986,"Tatlawiksuk",NA,NA,NA,NA,0
1987,"Tatlawiksuk",NA,NA,NA,NA,0
1988,"Tatlawiksuk",NA,NA,NA,NA,0
1989,"Tatlawiksuk",NA,NA,NA,NA,0
1990,"Tatlawiksuk",NA,NA,NA,NA,0
1991,"Tatlawiksuk",NA,NA,NA,NA,0
1992,"Tatlawiksuk",NA,NA,NA,NA,0
1993,"Tatlawiksuk",NA,NA,NA,NA,0
1994,"Tatlawiksuk",NA,NA,NA,NA,0
1995,"Tatlawiksuk",NA,NA,NA,NA,0
1996,"Tatlawiksuk",NA,NA,NA,NA,0
1997,"Tatlawiksuk",NA,NA,NA,NA,0
1998,"Tatlawiksuk",0,0.87,0.13,0,15
1999,"Tatlawiksuk",NA,NA,NA,NA,0
2000,"Tatlawiksuk",0.0530612244897959,0.36734693877551,0.579591836734694,0,7
2001,"Tatlawiksuk",0.120620466121315,0.417105814389346,0.4200934888541,0.0421802306352391,74
2002,"Tatlawiksuk",0.190128747684957,0.194933299931108,0.565510114611386,0.0494278377725487,278
2003,"Tatlawiksuk",0.08,0.56,0.28,0.08,39
2004,"Tatlawiksuk",0.305070921985816,0.412358156028369,0.282570921985816,0,301
2005,"Tatlawiksuk",0.124734576757532,0.487162840746054,0.372725968436155,0.0153766140602582,384
2006,"Tatlawiksuk",0.21337886912942,0.442085134005064,0.297816971830574,0.0467190250349413,178
2007,"Tatlawiksuk",0.35011698502891,0.440761674806563,0.193012825949225,0.0161085142153023,275
2008,"Tatlawiksuk",0.107600896860987,0.585201793721973,0.30719730941704,0,93
2009,"Tatlawiksuk",0.322129362208426,0.416939329680768,0.256671048465251,0.00426025964555407,93
2010,"Tatlawiksuk",0.314160534741336,0.411372615102324,0.246138291299219,0.0283285588571215,79
2011,"Tatlawiksuk",0.447730658665044,0.3035230920956,0.22079652516944,0.0279497240699163,123
2012,"Tatlawiksuk",0.225653742110009,0.642569882777277,0.131776375112714,0,91
2013,"Tatlawiksuk",0.0526530113613226,0.430915828480678,0.50763529747119,0.00879586268681028,66
2014,"Tatlawiksuk",0.151151601062573,0.415492592528567,0.43335580640886,0,94
2015,"Tatlawiksuk",0.387762830094669,0.502237169905331,0.11,0,176
2016,"Tatlawiksuk",0.251127709550786,0.593922966262181,0.154949324187033,0,61
2017,"Tatlawiksuk",0.21691968763949,0.575476724150344,0.207603588210167,0,129
