"year","stock","a4","a5","a6","a7","ess"
1976,"Tuluksak",NA,NA,NA,NA,0
1977,"Tuluksak",NA,NA,NA,NA,0
1978,"Tuluksak",NA,NA,NA,NA,0
1979,"Tuluksak",NA,NA,NA,NA,0
1980,"Tuluksak",NA,NA,NA,NA,0
1981,"Tuluksak",NA,NA,NA,NA,0
1982,"Tuluksak",NA,NA,NA,NA,0
1983,"Tuluksak",NA,NA,NA,NA,0
1984,"Tuluksak",NA,NA,NA,NA,0
1985,"Tuluksak",NA,NA,NA,NA,0
1986,"Tuluksak",NA,NA,NA,NA,0
1987,"Tuluksak",NA,NA,NA,NA,0
1988,"Tuluksak",NA,NA,NA,NA,0
1989,"Tuluksak",NA,NA,NA,NA,0
1990,"Tuluksak",NA,NA,NA,NA,0
1991,"Tuluksak",0.159829109007739,0.292154549900745,0.424652607957651,0.123363733133865,340
1992,"Tuluksak",0.428859822126298,0.372278867264541,0.18379972463067,0.0150615859784914,493
1993,"Tuluksak",0.559927830401443,0.257406405051872,0.172886783942264,0.00977898060442039,612
1994,"Tuluksak",0.184147180192572,0.524511691884457,0.249662998624484,0.0416781292984869,458
1995,"Tuluksak",NA,NA,NA,NA,0
1996,"Tuluksak",NA,NA,NA,NA,0
1997,"Tuluksak",NA,NA,NA,NA,0
1998,"Tuluksak",NA,NA,NA,NA,0
1999,"Tuluksak",NA,NA,NA,NA,0
2000,"Tuluksak",NA,NA,NA,NA,0
2001,"Tuluksak",0.0691752577319588,0.18950744558992,0.672142038946163,0.0691752577319588,22
2002,"Tuluksak",0.348343449008764,0.323691635296847,0.298650661198464,0.029314254495925,191
2003,"Tuluksak",0.33819641170916,0.407714825306893,0.208319169027384,0.0457695939565628,224
2004,"Tuluksak",0.257539492580182,0.42549408466115,0.306127333652465,0.0108390891062026,253
2005,"Tuluksak",0.345175974242256,0.32087686588592,0.330631730875985,0.00331542899583849,439
2006,"Tuluksak",0.358059291872339,0.323370540260093,0.283018318996868,0.0355518488707003,149
2007,"Tuluksak",0.149452895649853,0.267253803042434,0.537816920202829,0.0454763811048839,195
2008,"Tuluksak",0.127716964706218,0.493299461958926,0.343889594542522,0.0350939787923333,255
2009,"Tuluksak",0.184501430896134,0.361539756467089,0.445092867964761,0.00886594467201616,220
2010,"Tuluksak",0.317449001974117,0.459146742706734,0.219894713753016,0.00350954156613292,85
2011,"Tuluksak",0.136342412451362,0.232918287937743,0.630739299610895,0,19
2012,"Tuluksak",0,0.511019283746556,0.488980716253444,0,3
2013,"Tuluksak",0.425742574257426,0.287128712871287,0.287128712871287,0,7
2014,"Tuluksak",0.208370607028754,0.517731629392971,0.241693290734824,0.0322044728434505,52
2015,"Tuluksak",0.490081319941767,0.402614590532771,0.107304089525462,0,167
2016,"Tuluksak",0.45973597359736,0.50990099009901,0.0303630363036304,0,213
2017,"Tuluksak",0.6175,0.263032258064516,0.111096774193548,0.00837096774193548,136
