com,year,not_usually,usually
Tuntutuliak,1990,8,47
Eek,1990,16,50
Kasigluk,1990,19,60
Nunapitchuk,1990,16,67
Atmautluak,1990,11,42
Napakiak,1990,15,58
Napaskiak,1990,9,62
Oscarville,1990,NA,15
Bethel,1990,663,552
Kwethluk,1990,37,84
Akiachak,1990,23,73
Akiak,1990,6,50
Tuluksak,1990,10,50
Lower Kalskag,1990,13,53
Upper Kalskag,1990,13,27
Aniak,1990,32,129
Chuathbaluk,1990,6,18
Crooked Creek,1990,8,21
Red Devil,1990,1,12
Sleetmute,1990,10,22
Stony River,1990,4,11
Lime Village,1990,7,5
McGrath,1990,115,32
Takotna,1990,14,3
Nikolai,1990,12,18
Telida,1990,1,2
Tuntutuliak,1991,7,53
Eek,1991,13,55
Kasigluk,1991,12,70
Nunapitchuk,1991,13,75
Atmautluak,1991,6,47
Napakiak,1991,16,57
Napaskiak,1991,3,67
Oscarville,1991,NA,17
Bethel,1991,493,679
Kwethluk,1991,25,109
Akiachak,1991,20,85
Akiak,1991,6,44
Tuluksak,1991,9,60
Lower Kalskag,1991,7,50
Upper Kalskag,1991,10,31
Aniak,1991,18,137
Chuathbaluk,1991,2,27
Crooked Creek,1991,3,27
Red Devil,1991,NA,16
Sleetmute,1991,8,30
Stony River,1991,4,15
Lime Village,1991,3,10
McGrath,1991,98,48
Takotna,1991,15,2
Nikolai,1991,11,20
Telida,1991,NA,3
Tuntutuliak,1992,1,60
Eek,1992,12,57
Kasigluk,1992,10,73
Nunapitchuk,1992,7,79
Atmautluak,1992,6,45
Napakiak,1992,12,61
Napaskiak,1992,9,61
Oscarville,1992,NA,17
Bethel,1992,425,756
Kwethluk,1992,19,109
Akiachak,1992,14,96
Akiak,1992,3,50
Tuluksak,1992,10,57
Lower Kalskag,1992,9,50
Upper Kalskag,1992,8,34
Aniak,1992,30,120
Chuathbaluk,1992,4,23
Crooked Creek,1992,4,26
Red Devil,1992,1,19
Sleetmute,1992,4,37
Stony River,1992,6,14
Lime Village,1992,5,8
McGrath,1992,94,46
Takotna,1992,15,2
Nikolai,1992,9,21
Telida,1992,NA,3
Tuntutuliak,1993,2,60
Eek,1993,7,61
Kasigluk,1993,10,72
Nunapitchuk,1993,9,74
Atmautluak,1993,2,50
Napakiak,1993,9,64
Napaskiak,1993,9,64
Oscarville,1993,NA,13
Bethel,1993,379,775
Kwethluk,1993,19,112
Akiachak,1993,10,102
Akiak,1993,3,52
Tuluksak,1993,4,58
Lower Kalskag,1993,9,51
Upper Kalskag,1993,5,35
Aniak,1993,24,120
Chuathbaluk,1993,3,29
Crooked Creek,1993,3,28
Red Devil,1993,1,18
Sleetmute,1993,3,36
Stony River,1993,6,14
Lime Village,1993,6,10
McGrath,1993,75,63
Takotna,1993,NA,NA
Nikolai,1993,10,19
Telida,1993,NA,3
Tuntutuliak,1994,1,71
Eek,1994,9,61
Kasigluk,1994,8,70
Nunapitchuk,1994,8,86
Atmautluak,1994,3,48
Napakiak,1994,8,64
Napaskiak,1994,10,69
Oscarville,1994,NA,15
Bethel,1994,352,713
Kwethluk,1994,18,117
Akiachak,1994,6,97
Akiak,1994,4,54
Tuluksak,1994,5,60
Lower Kalskag,1994,11,61
Upper Kalskag,1994,3,35
Aniak,1994,30,117
Chuathbaluk,1994,3,26
Crooked Creek,1994,1,26
Red Devil,1994,1,19
Sleetmute,1994,3,40
Stony River,1994,5,14
Lime Village,1994,5,11
McGrath,1994,64,57
Takotna,1994,NA,NA
Nikolai,1994,8,20
Telida,1994,NA,3
Tuntutuliak,1995,NA,69
Eek,1995,12,61
Kasigluk,1995,8,70
Nunapitchuk,1995,7,86
Atmautluak,1995,5,47
Napakiak,1995,9,56
Napaskiak,1995,10,69
Oscarville,1995,NA,13
Bethel,1995,505,1043
Kwethluk,1995,19,113
Akiachak,1995,8,96
Akiak,1995,3,54
Tuluksak,1995,8,57
Lower Kalskag,1995,11,60
Upper Kalskag,1995,7,30
Aniak,1995,31,122
Chuathbaluk,1995,4,28
Crooked Creek,1995,3,23
Red Devil,1995,1,17
Sleetmute,1995,3,38
Stony River,1995,3,13
Lime Village,1995,6,9
McGrath,1995,75,45
Takotna,1995,12,1
Nikolai,1995,9,20
Telida,1995,NA,3
Tuntutuliak,1996,5,59
Eek,1996,13,56
Kasigluk,1996,8,70
Nunapitchuk,1996,12,80
Atmautluak,1996,5,49
Napakiak,1996,13,54
Napaskiak,1996,14,65
Oscarville,1996,NA,11
Bethel,1996,449,1113
Kwethluk,1996,22,109
Akiachak,1996,16,90
Akiak,1996,4,54
Tuluksak,1996,7,58
Lower Kalskag,1996,13,57
Upper Kalskag,1996,6,28
Aniak,1996,32,116
Chuathbaluk,1996,5,24
Crooked Creek,1996,4,22
Red Devil,1996,NA,21
Sleetmute,1996,1,37
Stony River,1996,3,13
Lime Village,1996,6,8
McGrath,1996,56,63
Takotna,1996,11,1
Nikolai,1996,4,20
Telida,1996,NA,3
Tuntutuliak,1997,6,59
Eek,1997,8,60
Kasigluk,1997,8,70
Nunapitchuk,1997,12,85
Atmautluak,1997,5,45
Napakiak,1997,12,56
Napaskiak,1997,10,69
Oscarville,1997,2,9
Bethel,1997,366,1052
Kwethluk,1997,21,109
Akiachak,1997,14,92
Akiak,1997,5,50
Tuluksak,1997,7,59
Lower Kalskag,1997,11,54
Upper Kalskag,1997,8,39
Aniak,1997,37,114
Chuathbaluk,1997,3,23
Crooked Creek,1997,3,27
Red Devil,1997,1,20
Sleetmute,1997,3,32
Stony River,1997,3,13
Lime Village,1997,6,9
McGrath,1997,53,70
Takotna,1997,11,1
Nikolai,1997,3,19
Telida,1997,NA,3
Tuntutuliak,1998,5,65
Eek,1998,13,56
Kasigluk,1998,8,70
Nunapitchuk,1998,8,87
Atmautluak,1998,6,47
Napakiak,1998,14,57
Napaskiak,1998,13,60
Oscarville,1998,2,12
Bethel,1998,340,977
Kwethluk,1998,11,122
Akiachak,1998,9,101
Akiak,1998,5,54
Tuluksak,1998,5,69
Lower Kalskag,1998,10,50
Upper Kalskag,1998,11,41
Aniak,1998,32,131
Chuathbaluk,1998,2,27
Crooked Creek,1998,2,30
Red Devil,1998,2,16
Sleetmute,1998,2,34
Stony River,1998,3,13
Lime Village,1998,4,11
McGrath,1998,50,58
Takotna,1998,17,2
Nikolai,1998,7,21
Telida,1998,NA,2
Tuntutuliak,1999,9,65
Eek,1999,18,49
Kasigluk,1999,13,123
Nunapitchuk,1999,13,87
Atmautluak,1999,3,50
Napakiak,1999,13,60
Napaskiak,1999,11,63
Oscarville,1999,1,14
Bethel,1999,408,1085
Kwethluk,1999,17,125
Akiachak,1999,13,106
Akiak,1999,7,51
Tuluksak,1999,2,70
Lower Kalskag,1999,15,48
Upper Kalskag,1999,14,39
Aniak,1999,28,135
Chuathbaluk,1999,5,23
Crooked Creek,1999,4,26
Red Devil,1999,1,17
Sleetmute,1999,4,31
Stony River,1999,2,14
Lime Village,1999,6,11
McGrath,1999,44,56
Takotna,1999,11,3
Nikolai,1999,7,22
Telida,1999,NA,2
Tuntutuliak,2000,5,68
Eek,2000,19,48
Kasigluk,2000,12,123
Nunapitchuk,2000,17,86
Atmautluak,2000,8,44
Napakiak,2000,13,62
Napaskiak,2000,12,67
Oscarville,2000,3,12
Bethel,2000,343,1376
Kwethluk,2000,17,127
Akiachak,2000,15,108
Akiak,2000,8,51
Tuluksak,2000,4,72
Lower Kalskag,2000,17,46
Upper Kalskag,2000,14,42
Aniak,2000,42,127
Chuathbaluk,2000,2,27
Crooked Creek,2000,5,25
Red Devil,2000,1,13
Sleetmute,2000,4,30
Stony River,2000,2,13
Lime Village,2000,3,14
McGrath,2000,50,63
Takotna,2000,15,2
Nikolai,2000,8,21
Telida,2000,NA,2
Tuntutuliak,2001,4,72
Eek,2001,14,57
Kasigluk,2001,10,125
Nunapitchuk,2001,14,90
Atmautluak,2001,13,43
Napakiak,2001,16,62
Napaskiak,2001,10,76
Oscarville,2001,2,12
Bethel,2001,687,1020
Kwethluk,2001,17,129
Akiachak,2001,15,113
Akiak,2001,8,57
Tuluksak,2001,8,64
Lower Kalskag,2001,18,44
Upper Kalskag,2001,12,43
Aniak,2001,37,127
Chuathbaluk,2001,3,24
Crooked Creek,2001,8,23
Red Devil,2001,1,14
Sleetmute,2001,2,36
Stony River,2001,3,12
Lime Village,2001,7,12
McGrath,2001,44,81
Takotna,2001,17,3
Nikolai,2001,15,19
Telida,2001,NA,2
Tuntutuliak,2002,4,76
Eek,2002,11,64
Kasigluk,2002,10,126
Nunapitchuk,2002,17,92
Atmautluak,2002,10,49
Napakiak,2002,11,81
Napaskiak,2002,11,79
Oscarville,2002,1,14
Bethel,2002,723,1132
Kwethluk,2002,16,145
Akiachak,2002,13,122
Akiak,2002,8,66
Tuluksak,2002,9,73
Lower Kalskag,2002,18,53
Upper Kalskag,2002,10,50
Aniak,2002,44,145
Chuathbaluk,2002,2,29
Crooked Creek,2002,4,32
Red Devil,2002,2,13
Sleetmute,2002,NA,40
Stony River,2002,1,14
Lime Village,2002,6,13
McGrath,2002,65,97
Takotna,2002,13,8
Nikolai,2002,6,30
Telida,2002,NA,3
Tuntutuliak,2003,5,74
Eek,2003,9,69
Kasigluk,2003,10,125
Nunapitchuk,2003,7,96
Atmautluak,2003,11,51
Napakiak,2003,5,88
Napaskiak,2003,11,76
Oscarville,2003,1,13
Bethel,2003,413,1218
Kwethluk,2003,18,140
Akiachak,2003,11,123
Akiak,2003,8,65
Tuluksak,2003,5,75
Lower Kalskag,2003,19,54
Upper Kalskag,2003,14,48
Aniak,2003,16,134
Chuathbaluk,2003,2,30
Crooked Creek,2003,2,36
Red Devil,2003,1,14
Sleetmute,2003,2,31
Stony River,2003,1,14
Lime Village,2003,4,10
McGrath,2003,47,92
Takotna,2003,11,8
Nikolai,2003,8,28
Telida,2003,NA,2
Tuntutuliak,2004,3,79
Eek,2004,7,74
Kasigluk,2004,9,125
Nunapitchuk,2004,8,101
Atmautluak,2004,8,55
Napakiak,2004,4,81
Napaskiak,2004,10,74
Oscarville,2004,NA,13
Bethel,2004,559,1280
Kwethluk,2004,20,143
Akiachak,2004,8,116
Akiak,2004,5,67
Tuluksak,2004,4,77
Lower Kalskag,2004,19,48
Upper Kalskag,2004,11,54
Aniak,2004,13,126
Chuathbaluk,2004,5,29
Crooked Creek,2004,3,37
Red Devil,2004,2,11
Sleetmute,2004,4,26
Stony River,2004,1,17
Lime Village,2004,2,13
McGrath,2004,37,94
Takotna,2004,10,9
Nikolai,2004,9,31
Telida,2004,NA,2
Tuntutuliak,2005,8,78
Eek,2005,8,72
Kasigluk,2005,NA,NA
Nunapitchuk,2005,9,106
Atmautluak,2005,7,53
Napakiak,2005,5,86
Napaskiak,2005,13,76
Oscarville,2005,NA,13
Bethel,2005,NA,454
Kwethluk,2005,22,141
Akiachak,2005,9,127
Akiak,2005,4,75
Tuluksak,2005,5,78
Lower Kalskag,2005,19,62
Upper Kalskag,2005,6,59
Aniak,2005,25,136
Chuathbaluk,2005,4,35
Crooked Creek,2005,1,29
Red Devil,2005,4,8
Sleetmute,2005,5,30
Stony River,2005,NA,NA
Lime Village,2005,NA,NA
McGrath,2005,NA,3
Takotna,2005,NA,1
Nikolai,2005,NA,2
Telida,2005,NA,NA
Tuntutuliak,2006,9,86
Eek,2006,NA,5
Kasigluk,2006,NA,1
Nunapitchuk,2006,11,100
Atmautluak,2006,NA,NA
Napakiak,2006,5,92
Napaskiak,2006,10,83
Oscarville,2006,NA,16
Bethel,2006,NA,427
Kwethluk,2006,22,138
Akiachak,2006,10,121
Akiak,2006,3,79
Tuluksak,2006,6,82
Lower Kalskag,2006,18,64
Upper Kalskag,2006,8,62
Aniak,2006,25,141
Chuathbaluk,2006,2,34
Crooked Creek,2006,NA,30
Red Devil,2006,4,9
Sleetmute,2006,6,33
Stony River,2006,1,15
Lime Village,2006,NA,NA
McGrath,2006,32,96
Takotna,2006,7,13
Nikolai,2006,5,29
Telida,2006,NA,2
Tuntutuliak,2008,8,79
Eek,2008,NA,2
Kasigluk,2008,NA,NA
Nunapitchuk,2008,9,103
Atmautluak,2008,5,58
Napakiak,2008,5,95
Napaskiak,2008,8,80
Oscarville,2008,NA,16
Bethel,2008,NA,445
Kwethluk,2008,19,148
Akiachak,2008,10,129
Akiak,2008,3,76
Tuluksak,2008,NA,NA
Lower Kalskag,2008,10,73
Upper Kalskag,2008,3,27
Aniak,2008,18,144
Chuathbaluk,2008,2,34
Crooked Creek,2008,NA,1
Red Devil,2008,4,9
Sleetmute,2008,4,27
Stony River,2008,NA,NA
Lime Village,2008,NA,NA
McGrath,2008,34,100
Takotna,2008,2,1
Nikolai,2008,NA,1
Telida,2008,NA,NA
Tuntutuliak,2009,3,79
Eek,2009,7,70
Kasigluk,2009,4,91
Nunapitchuk,2009,9,105
Atmautluak,2009,2,65
Napakiak,2009,4,96
Napaskiak,2009,8,90
Oscarville,2009,NA,17
Bethel,2009,NA,2005
Kwethluk,2009,17,140
Akiachak,2009,8,133
Akiak,2009,2,78
Tuluksak,2009,4,82
Lower Kalskag,2009,10,61
Upper Kalskag,2009,8,58
Aniak,2009,NA,183
Chuathbaluk,2009,1,36
Crooked Creek,2009,1,40
Red Devil,2009,5,9
Sleetmute,2009,3,35
Stony River,2009,2,18
Lime Village,2009,2,13
McGrath,2009,44,105
Takotna,2009,7,18
Nikolai,2009,NA,32
Telida,2009,NA,2
Tuntutuliak,2010,7,81
Eek,2010,10,71
Kasigluk,2010,7,93
Nunapitchuk,2010,13,105
Atmautluak,2010,5,56
Napakiak,2010,3,95
Napaskiak,2010,8,84
Oscarville,2010,0,16
Bethel,2010,NA,2043
Kwethluk,2010,23,141
Akiachak,2010,14,142
Akiak,2010,3,84
Tuluksak,2010,8,80
Lower Kalskag,2010,15,53
Upper Kalskag,2010,8,59
Aniak,2010,NA,190
Chuathbaluk,2010,3,34
Crooked Creek,2010,8,33
Red Devil,2010,3,10
Sleetmute,2010,7,33
Stony River,2010,1,20
Lime Village,2010,1,14
McGrath,2010,37,94
Takotna,2010,12,13
Nikolai,2010,4,29
Telida,2010,1,1
Tuntutuliak,2011,9,74
Eek,2011,20,60
Kasigluk,2011,30,66
Nunapitchuk,2011,26,88
Atmautluak,2011,16,41
Napakiak,2011,29,64
Napaskiak,2011,15,81
Oscarville,2011,2,13
Bethel,2011,NA,2087
Kwethluk,2011,34,127
Akiachak,2011,24,124
Akiak,2011,10,67
Tuluksak,2011,18,64
Lower Kalskag,2011,21,57
Upper Kalskag,2011,14,51
Aniak,2011,NA,182
Chuathbaluk,2011,8,23
Crooked Creek,2011,13,25
Red Devil,2011,3,10
Sleetmute,2011,12,25
Stony River,2011,6,10
Lime Village,2011,NA,NA
McGrath,2011,86,46
Takotna,2011,NA,NA
Nikolai,2011,9,24
Telida,2011,NA,NA
Tuntutuliak,2012,9,81
Eek,2012,24,61
Kasigluk,2012,30,72
